province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Austria,2022-08-03,47.5162,14.5501,POINT(14.5501 47.5162),4807205,20390,,,,,Austria
Antwerp,Belgium,2022-08-03,51.2195,4.4024,POINT(4.4024 51.2195),711225,0,,,,,"Antwerp, Belgium"
Brussels,Belgium,2022-08-03,50.8503,4.3517,POINT(4.3517 50.8503),480952,0,,,,,"Brussels, Belgium"
East Flanders,Belgium,2022-08-03,51.0362,3.7373,POINT(3.7373 51.0362),598498,0,,,,,"East Flanders, Belgium"
Flemish Brabant,Belgium,2022-08-03,50.9167,4.5833,POINT(4.5833 50.9167),432232,0,,,,,"Flemish Brabant, Belgium"
Hainaut,Belgium,2022-08-03,50.5257,4.0621,POINT(4.0621 50.5257),486533,0,,,,,"Hainaut, Belgium"
Liege,Belgium,2022-08-03,50.4496,5.8492,POINT(5.8492 50.4496),395967,0,,,,,"Liege, Belgium"
Limburg,Belgium,2022-08-03,50.9739,5.342,POINT(5.342 50.9739),325861,0,,,,,"Limburg, Belgium"
Luxembourg,Belgium,2022-08-03,50.0547,5.4677,POINT(5.4677 50.0547),114226,0,,,,,"Luxembourg, Belgium"
Namur,Belgium,2022-08-03,50.331,4.8221,POINT(4.8221 50.331),188934,0,,,,,"Namur, Belgium"
Unknown,Belgium,2022-08-03,,,,60001,32263,,,,,"Unknown, Belgium"
Walloon Brabant,Belgium,2022-08-03,50.4,4.35,POINT(4.35 50.4),162632,0,,,,,"Walloon Brabant, Belgium"
West Flanders,Belgium,2022-08-03,51.0536,3.1458,POINT(3.1458 51.0536),468140,0,,,,,"West Flanders, Belgium"
Faroe Islands,Denmark,2022-08-03,61.8926,-6.9118,POINT(-6.9118 61.8926),34658,28,,,,,"Faroe Islands, Denmark"
Greenland,Denmark,2022-08-03,71.7069,-42.6043,POINT(-42.6043 71.7069),11971,21,,,,,"Greenland, Denmark"
,Denmark,2022-08-03,56.2639,9.5018,POINT(9.5018 56.2639),3237406,6687,,,,,Denmark
,Estonia,2022-08-03,58.5953,25.0136,POINT(25.0136 58.5953),591377,2628,,,,,Estonia
,Finland,2022-08-03,61.92411,25.748151,POINT(25.748151 61.92411),1171034,5012,,,,,Finland
French Guiana,France,2022-08-03,4.0,-53.0,POINT(-53 4),92575,407,,,,,"French Guiana, France"
French Polynesia,France,2022-08-03,-17.6797,-149.4068,POINT(-149.4068 -17.6797),75654,649,,,,,"French Polynesia, France"
Guadeloupe,France,2022-08-03,16.265,-61.551,POINT(-61.551 16.265),186380,971,,,,,"Guadeloupe, France"
Martinique,France,2022-08-03,14.6415,-61.0242,POINT(-61.0242 14.6415),211572,998,,,,,"Martinique, France"
Mayotte,France,2022-08-03,-12.8275,45.166244,POINT(45.166244 -12.8275),39344,187,,,,,"Mayotte, France"
New Caledonia,France,2022-08-03,-20.904305,165.618042,POINT(165.618042 -20.904305),71410,314,,,,,"New Caledonia, France"
Reunion,France,2022-08-03,-21.1151,55.5364,POINT(55.5364 -21.1151),434924,832,,,,,"Reunion, France"
Saint Barthelemy,France,2022-08-03,17.9,-62.8333,POINT(-62.8333 17.9),5138,6,,,,,"Saint Barthelemy, France"
Saint Pierre and Miquelon,France,2022-08-03,46.8852,-56.3159,POINT(-56.3159 46.8852),3083,1,,,,,"Saint Pierre and Miquelon, France"
St Martin,France,2022-08-03,18.0708,-63.0501,POINT(-63.0501 18.0708),11667,63,,,,,"St Martin, France"
Wallis and Futuna,France,2022-08-03,-14.2938,-178.1165,POINT(-178.1165 -14.2938),761,7,,,,,"Wallis and Futuna, France"
,France,2022-08-03,46.2276,2.2137,POINT(2.2137 46.2276),33040311,148975,,,,,France
